Time,Open,High,Low,Close,Volume
1997.07.20 00:00,1.67810,1.68760,1.65970,1.66240,11125
1997.07.27 00:00,1.66150,1.66330,1.62300,1.63190,12545
1997.08.03 00:00,1.63110,1.63530,1.56630,1.58950,19865
1997.08.10 00:00,1.58600,1.61260,1.57110,1.61030,11975
1997.08.17 00:00,1.61000,1.61550,1.58430,1.60940,13915
1997.08.24 00:00,1.60880,1.62560,1.60080,1.62330,12285
1997.08.31 00:00,1.61400,1.61660,1.57670,1.59350,12695
1997.09.07 00:00,1.58950,1.61190,1.57900,1.60800,11005
1997.09.14 00:00,1.60160,1.61830,1.58690,1.61160,13205
1997.09.21 00:00,1.61050,1.63050,1.59930,1.60800,11155
1997.09.28 00:00,1.61300,1.62300,1.59850,1.61700,11895
1997.10.05 00:00,1.61450,1.63100,1.61020,1.62370,9315
1997.10.12 00:00,1.62180,1.62700,1.61180,1.61730,8545
1997.10.19 00:00,1.62880,1.64040,1.62550,1.63300,9815
1997.10.26 00:00,1.63430,1.68820,1.63300,1.67480,16235
1997.11.02 00:00,1.67800,1.69700,1.67030,1.68900,13145
1997.11.09 00:00,1.68500,1.71550,1.67820,1.69350,12685
1997.11.16 00:00,1.68980,1.69940,1.68340,1.69400,10185
1997.11.23 00:00,1.68950,1.69660,1.66690,1.68900,10395
1997.11.30 00:00,1.68960,1.69070,1.64940,1.66000,10705
1997.12.07 00:00,1.65830,1.66580,1.64270,1.65150,10935
1997.12.14 00:00,1.64750,1.67680,1.62640,1.67040,13615
1997.12.21 00:00,1.66830,1.67950,1.65750,1.67640,9425
1997.12.28 00:00,1.67800,1.68000,1.63450,1.64550,10474
1998.01.04 00:00,1.64090,1.64750,1.60920,1.61330,13935
1998.01.11 00:00,1.61200,1.64020,1.60900,1.62890,10775
1998.01.18 00:00,1.63500,1.67510,1.61940,1.67280,13215
1998.01.25 00:00,1.67550,1.68700,1.63000,1.63460,16135
1998.02.01 00:00,1.63080,1.66090,1.62400,1.64110,12275
1998.02.08 00:00,1.64240,1.64580,1.62050,1.64170,12105
1998.02.15 00:00,1.64170,1.64500,1.62670,1.63750,10405
1998.02.22 00:00,1.63630,1.65250,1.63100,1.64420,11105
1998.03.01 00:00,1.64480,1.66300,1.62790,1.63920,12525
1998.03.08 00:00,1.63750,1.67520,1.63210,1.67170,10395
1998.03.15 00:00,1.67230,1.67830,1.65960,1.66800,8325
1998.03.22 00:00,1.66800,1.69000,1.66470,1.68320,9365
1998.03.29 00:00,1.68330,1.68630,1.65500,1.65920,11215
1998.04.05 00:00,1.65800,1.68100,1.65460,1.67350,9875
1998.04.12 00:00,1.67320,1.69820,1.66420,1.68430,11495
1998.04.19 00:00,1.68420,1.68700,1.65800,1.66770,11305
1998.04.26 00:00,1.66780,1.67820,1.65820,1.66600,11455
1998.05.03 00:00,1.66250,1.67140,1.63300,1.63960,10345
1998.05.10 00:00,1.63610,1.64470,1.61940,1.62620,10675
1998.05.17 00:00,1.62210,1.63620,1.61520,1.63100,9365
1998.05.24 00:00,1.63130,1.64550,1.62070,1.63100,11025
1998.05.31 00:00,1.63250,1.65100,1.62700,1.63520,10425
1998.06.07 00:00,1.63400,1.64000,1.62500,1.63240,9655
1998.06.14 00:00,1.62980,1.67930,1.62600,1.67480,12025
1998.06.21 00:00,1.67200,1.67770,1.65700,1.66190,12515
1998.06.28 00:00,1.65990,1.67310,1.64460,1.64750,12365
1998.07.05 00:00,1.64140,1.65000,1.62670,1.63290,9425
1998.07.12 00:00,1.63050,1.64700,1.62880,1.64500,9125
1998.07.19 00:00,1.64550,1.66230,1.63700,1.65700,8495
1998.07.26 00:00,1.65700,1.66240,1.62950,1.63270,8875
1998.08.02 00:00,1.63400,1.64210,1.62120,1.62930,9695
1998.08.09 00:00,1.62850,1.63750,1.61470,1.61920,10235
1998.08.16 00:00,1.61920,1.64040,1.60750,1.63680,8505
1998.08.23 00:00,1.63550,1.68520,1.63250,1.68110,11965
1998.08.30 00:00,1.68270,1.69040,1.66040,1.67050,15095
1998.09.06 00:00,1.66930,1.69500,1.65000,1.67280,12455
1998.09.13 00:00,1.67050,1.69440,1.66800,1.68350,12005
1998.09.20 00:00,1.67840,1.70860,1.67050,1.69600,15945
1998.09.27 00:00,1.69750,1.71850,1.69150,1.69920,14655
1998.10.04 00:00,1.70000,1.73670,1.67650,1.71010,20695
1998.10.11 00:00,1.70000,1.71280,1.68620,1.70270,13955
1998.10.18 00:00,1.70230,1.71200,1.68590,1.68760,11395
1998.10.25 00:00,1.68500,1.68890,1.66200,1.67550,12415
1998.11.01 00:00,1.67600,1.67890,1.64970,1.66030,12105
1998.11.08 00:00,1.65750,1.67100,1.65140,1.66300,9855
1998.11.15 00:00,1.66330,1.68060,1.65020,1.65630,9365
1998.11.22 00:00,1.65610,1.66550,1.64400,1.65130,10015
1998.11.29 00:00,1.65370,1.67350,1.64240,1.66620,10835
1998.12.06 00:00,1.66090,1.69230,1.64630,1.69180,11445
1998.12.13 00:00,1.68690,1.69500,1.66620,1.67960,11665
1998.12.20 00:00,1.68350,1.68700,1.66960,1.67190,6475
1998.12.27 00:00,1.67390,1.68600,1.65210,1.66090,8834
1999.01.03 00:00,1.66860,1.67200,1.63570,1.64050,342148
1999.01.10 00:00,1.63980,1.66460,1.62330,1.65020,360642
1999.01.17 00:00,1.64910,1.66260,1.64190,1.65650,298780
1999.01.24 00:00,1.65510,1.66280,1.64190,1.64500,279022
1999.01.31 00:00,1.64690,1.64810,1.62980,1.63310,298509
1999.02.07 00:00,1.63270,1.64130,1.61880,1.63500,293382
1999.02.14 00:00,1.63450,1.63950,1.62020,1.62200,267751
1999.02.21 00:00,1.62250,1.62660,1.59520,1.60380,264565
1999.02.28 00:00,1.59970,1.62250,1.59520,1.60500,259993
1999.03.07 00:00,1.60130,1.64290,1.60040,1.63190,284583
1999.03.14 00:00,1.63080,1.63320,1.61750,1.62830,258103
1999.03.21 00:00,1.62820,1.64800,1.61740,1.62310,286213
1999.03.28 00:00,1.62270,1.62430,1.60120,1.60370,198971
1999.04.04 00:00,1.60370,1.61210,1.58410,1.60870,247331
1999.04.11 00:00,1.60720,1.62100,1.60310,1.61330,272456
1999.04.18 00:00,1.61240,1.62390,1.60420,1.61550,279155
1999.04.25 00:00,1.61340,1.62220,1.60600,1.60950,282772
1999.05.02 00:00,1.60970,1.64350,1.60630,1.62960,323969
1999.05.09 00:00,1.62970,1.63530,1.61370,1.61900,265058
1999.05.16 00:00,1.62120,1.62570,1.60030,1.60060,281859
1999.05.23 00:00,1.60150,1.60550,1.58820,1.60140,261310
1999.05.30 00:00,1.60290,1.61410,1.59850,1.61030,283723
1999.06.06 00:00,1.61020,1.61810,1.59820,1.61680,299862
1999.06.13 00:00,1.61420,1.61650,1.58550,1.59610,367331
1999.06.20 00:00,1.59450,1.59610,1.57400,1.58620,317464
1999.06.27 00:00,1.58670,1.58750,1.56930,1.57870,269481
1999.07.04 00:00,1.57820,1.57890,1.54700,1.54870,262987
1999.07.11 00:00,1.55000,1.57030,1.54830,1.56190,279991
1999.07.18 00:00,1.56300,1.58740,1.55700,1.57760,265531
1999.07.25 00:00,1.57820,1.62560,1.57820,1.62150,281383
1999.08.01 00:00,1.62030,1.62830,1.60760,1.60840,333873
1999.08.08 00:00,1.60930,1.61900,1.60110,1.60450,289660
1999.08.15 00:00,1.60600,1.62220,1.59550,1.61530,313434
1999.08.22 00:00,1.61560,1.61850,1.58320,1.58800,309982
1999.08.29 00:00,1.58920,1.61570,1.58550,1.60200,305334
1999.09.05 00:00,1.60320,1.63750,1.59940,1.61850,350006
1999.09.12 00:00,1.61990,1.62670,1.59860,1.62350,368073
1999.09.19 00:00,1.62290,1.64700,1.61950,1.64180,355327
1999.09.26 00:00,1.64170,1.65720,1.63940,1.65480,320273
1999.10.03 00:00,1.65490,1.66030,1.64730,1.65250,315950
1999.10.10 00:00,1.65150,1.67270,1.64940,1.66750,301834
1999.10.17 00:00,1.66900,1.67950,1.65320,1.65390,330416
1999.10.24 00:00,1.65680,1.66500,1.63260,1.64290,354183
1999.10.31 00:00,1.64410,1.65190,1.61580,1.61850,372342
1999.11.07 00:00,1.62280,1.62930,1.61000,1.61600,301993
1999.11.14 00:00,1.61480,1.62900,1.61210,1.61890,328397
1999.11.21 00:00,1.61950,1.62760,1.60200,1.60690,351432
1999.11.28 00:00,1.60580,1.60860,1.59110,1.60220,349591
1999.12.05 00:00,1.60170,1.63120,1.59910,1.62150,306068
1999.12.12 00:00,1.62240,1.62610,1.60220,1.60400,303548
1999.12.19 00:00,1.60620,1.62300,1.60190,1.61510,302877
1999.12.26 00:00,1.61610,1.62130,1.61120,1.61540,172777
2000.01.02 00:00,1.61460,1.65110,1.61380,1.63940,317640
2000.01.09 00:00,1.63870,1.65090,1.63130,1.63530,369425
2000.01.16 00:00,1.63450,1.65810,1.62970,1.64880,354443
2000.01.23 00:00,1.64640,1.65600,1.61550,1.61950,352939
2000.01.30 00:00,1.62210,1.62610,1.58300,1.59160,409096
2000.02.06 00:00,1.59100,1.61770,1.58700,1.59440,468061
2000.02.13 00:00,1.59300,1.61400,1.58420,1.60210,413782
2000.02.20 00:00,1.60010,1.61960,1.58850,1.59490,411277
2000.02.27 00:00,1.59050,1.60230,1.57510,1.57750,435727
2000.03.05 00:00,1.57970,1.58770,1.56920,1.57680,399684
2000.03.12 00:00,1.57730,1.58330,1.56780,1.57630,427753
2000.03.19 00:00,1.57540,1.59570,1.56140,1.59560,435725
2000.03.26 00:00,1.59290,1.60080,1.58110,1.59110,440438
2000.04.02 00:00,1.59120,1.60820,1.57750,1.57940,372277
2000.04.09 00:00,1.57990,1.59330,1.57660,1.58800,373827
2000.04.16 00:00,1.58920,1.59460,1.57470,1.57760,369632
2000.04.23 00:00,1.57670,1.58260,1.55050,1.55210,409506
2000.04.30 00:00,1.55350,1.56730,1.52450,1.53030,389722
2000.05.07 00:00,1.52790,1.53710,1.49280,1.51610,497735
2000.05.14 00:00,1.52240,1.52300,1.47530,1.48850,421670
2000.05.21 00:00,1.48620,1.49670,1.46640,1.49000,480849
2000.05.28 00:00,1.48880,1.51290,1.48580,1.51010,406313
2000.06.04 00:00,1.51030,1.53140,1.50080,1.51010,460349
2000.06.11 00:00,1.50850,1.51820,1.49520,1.51520,445137
2000.06.18 00:00,1.51470,1.52030,1.49440,1.49940,450889
2000.06.25 00:00,1.50110,1.52120,1.49360,1.51730,443141
2000.07.02 00:00,1.51680,1.51970,1.50400,1.51310,424829
2000.07.09 00:00,1.51510,1.51960,1.49680,1.50210,442330
2000.07.16 00:00,1.50060,1.52010,1.49040,1.51700,441434
2000.07.23 00:00,1.51760,1.52230,1.49870,1.50230,399638
2000.07.30 00:00,1.50280,1.50800,1.48270,1.50540,389783
2000.08.06 00:00,1.50460,1.51430,1.49470,1.50230,361262
2000.08.13 00:00,1.50220,1.51430,1.48750,1.49000,413033
2000.08.20 00:00,1.49020,1.49360,1.46890,1.46930,403388
2000.08.27 00:00,1.47080,1.47370,1.44190,1.46380,397762
2000.09.03 00:00,1.46270,1.46600,1.41370,1.41390,438102
2000.09.10 00:00,1.41400,1.42310,1.39500,1.39730,466362
2000.09.17 00:00,1.39870,1.47580,1.39590,1.45320,447152
2000.09.24 00:00,1.45720,1.48020,1.45000,1.47610,453284
2000.10.01 00:00,1.47640,1.47790,1.44220,1.44560,414341
2000.10.08 00:00,1.44690,1.48040,1.44540,1.45200,422265
2000.10.15 00:00,1.45180,1.46160,1.43420,1.45150,505743
2000.10.22 00:00,1.45280,1.45810,1.41910,1.45530,510818
2000.10.29 00:00,1.45430,1.46760,1.43940,1.45040,571361
2000.11.05 00:00,1.44940,1.45200,1.41290,1.42590,568472
2000.11.12 00:00,1.42650,1.44280,1.41970,1.42230,495966
2000.11.19 00:00,1.42240,1.42960,1.39570,1.39990,466434
2000.11.26 00:00,1.40080,1.44510,1.40010,1.44190,552921
2000.12.03 00:00,1.43950,1.45560,1.43080,1.45170,623271
2000.12.10 00:00,1.44620,1.47810,1.44290,1.47570,591642
2000.12.17 00:00,1.47360,1.48420,1.46060,1.47690,636016
2000.12.24 00:00,1.47700,1.49830,1.47400,1.49290,432557
2000.12.31 00:00,1.49310,1.50980,1.48820,1.50410,509801
2001.01.07 00:00,1.50360,1.51060,1.47550,1.47730,561580
2001.01.14 00:00,1.47840,1.48080,1.46260,1.46290,595174
2001.01.21 00:00,1.46370,1.47440,1.44630,1.46150,633854
2001.01.28 00:00,1.46120,1.48380,1.45530,1.46890,571409
2001.02.04 00:00,1.46900,1.47850,1.43720,1.44460,585743
2001.02.11 00:00,1.44550,1.46140,1.44400,1.44870,568196
2001.02.18 00:00,1.44740,1.45580,1.43100,1.45510,562063
2001.02.25 00:00,1.45350,1.47630,1.43880,1.46780,582800
2001.03.04 00:00,1.46960,1.47520,1.45740,1.46940,559165
2001.03.11 00:00,1.46720,1.46990,1.42510,1.43260,675163
2001.03.18 00:00,1.43110,1.43950,1.41790,1.42510,578699
2001.03.25 00:00,1.42760,1.44270,1.41510,1.41630,613790
2001.04.01 00:00,1.41440,1.44130,1.41380,1.43980,562585
2001.04.08 00:00,1.44080,1.45020,1.42700,1.43720,454564
2001.04.15 00:00,1.43700,1.44880,1.41850,1.44120,496551
2001.04.22 00:00,1.44210,1.44780,1.43090,1.43860,548552
2001.04.29 00:00,1.43500,1.44530,1.42640,1.43930,444593
2001.05.06 00:00,1.43760,1.44170,1.41310,1.41900,489904
